Dates;Flow_Rate_L_Andelle_a_Vascoeuil;Flow_Rate_L_Austreberthe_a_Saint_Paer;Flow_Rate_L_Elure_a_Cailly_sur_Eure;Flow_Rate_L_Epte_a_Fourges;Flow_Rate_L_Eure_a_Louviers;Flow_Rate_La_Durdent_a_Vittefleur;Flow_Rate_La_Ganzeville_a_Ganzeville;Flow_Rate_La_Saane_a_Val_de_Saane;Flow_Rate_Le_Cailly_a_Notre_Dame_de_Bondeville_x;Flow_Rate_Le_Cailly_a_Fontaine_le_Bourg__Grand_Tendos;Flow_Rate_Le_Cailly_a_Notre_Dame_de_Bondeville_y;Flow_Rate_Le_Commerce_a_Gruchet_le_Valasse;Flow_Rate_La_Seine_a_Alfortville;Flow_Rate_La_Risle_A_Pont_Authou;Surface_Water_Level_L_Andelle_a_Vascoeuil;Surface_Water_Level_L_Austreberthe_a_Saint_Paer;Surface_Water_Level_L_Elure_a_Cailly_sur_Eure;Surface_Water_Level_L_Epte_a_Fourges;Surface_Water_Level_L_Eure_a_Louviers;Surface_Water_Level_La_Durdent_a_Vittefleur;Surface_Water_Level_La_Ganzeville_a_Ganzeville;Surface_Water_Level_La_Saane_a_Val_de_Saane;Surface_Water_Level_Le_Cailly_a_Notre_Dame_de_Bondeville;Surface_Water_Level_Le_Cailly_a_Fontaine_le_Bourg__Grand_Tendos;Surface_Water_Level_Le_Commerce_a_Gruchet_le_Valasse;Surface_Water_Level_La_Seine_A_Alfortville;Surface_Water_Level_La_Risle_A_Pont_Authou;Water_Level_Caudebec;Water_Level_Tancarville;Water_Level_Duclair;Water_Level_Honfleur;Water_Level_Rouen;Rainfall_Dieppe;Rainfall_Octeville;Rainfall_Rouen;Temperature_Dieppe;Temperature_Octeville;Temperature_Rouen;Cote_NGF_BSS000EPAR;Cote_NGF_BSS000FGNF;Cote_NGF_BSS000FHCQ;Cote_NGF_BSS000FLDL;Cote_NGF_BSS000FLJZ;Cote_NGF_BSS000FLMB;Cote_NGF_BSS000GTXB;Cote_NGF_BSS000MRWS;Tide (m)
01/01/2000;8.85;3.24;106.0;32.7;103.0;6.95;1.39;0.798;5.49;1.47;5.49;0.36;1030.0;54.6;0.82;0.45;2.34;1.72;1.92;0.51;0.65;0.14;0.66;0.44;0.13;0.61;1.16;7.04;6.9;7.6;6.71;8.15;0.4;2.8;0.6;7.1;7.2;8.1;146.12;58.23;34.05;73.63;101.99;123.49;54.54;130.36;4.808
02/01/2000;8.08;3.04;108.0;30.3;110.0;6.49;1.31;0.757;5.28;1.43;5.28;0.31;997.0;58.2;0.78;0.43;2.36;1.66;2.06;0.48;0.64;0.13;0.64;0.43;0.12;0.61;1.21;7.16;7.0;7.73;6.8;8.31;3.4;6.6;4.0;8.1;7.2;7.3;146.12;58.23;33.78;73.58;102.04;123.79;54.54;130.38;4.838
03/01/2000;7.74;3.0;108.0;27.4;110.0;6.38;1.28;0.736;5.09;1.41;5.09;0.306;882.0;50.2;0.76;0.42;2.35;1.59;2.06;0.47;0.64;0.13;0.63;0.43;0.12;0.61;1.1;7.5;7.35;8.07;7.2;8.64;0.2;0.0;3.4;5.0;5.3;5.5;146.12;58.23;33.58;73.55;102.07;124.06;54.54;130.41;4.931
04/01/2000;8.34;3.69;99.6;24.8;108.0;6.52;1.47;0.75;5.38;1.41;5.38;0.86;747.0;27.8;0.79;0.49;2.28;1.52;2.03;0.48;0.66;0.13;0.65;0.43;0.24;0.61;0.76;7.81;7.74;8.43;7.59;8.97;1.4;1.0;1.4;2.6;2.6;5.7;146.12;58.23;33.44;73.52;102.13;124.29;54.54;130.46;4.996
05/01/2000;8.36;2.97;92.0;22.8;104.0;6.32;1.28;0.723;4.91;1.39;4.91;0.293;712.0;23.9;0.79;0.42;2.19;1.46;1.94;0.47;0.64;0.13;0.62;0.43;0.12;0.61;0.68;7.76;7.69;8.44;7.52;8.88;0.0;0.0;0.0;9.7;8.2;13.0;146.12;58.23;33.49;73.49;102.15;124.58;54.54;130.47;4.957
06/01/2000;7.59;2.98;83.4;22.0;95.1;6.05;1.22;0.709;4.82;1.31;4.82;0.335;660.0;22.9;0.76;0.42;2.06;1.43;1.78;0.45;0.64;0.13;0.62;0.42;0.13;0.61;0.66;7.74;7.67;8.4;7.56;8.83;0.0;0.2;0.0;13.7;12.7;15.8;146.12;58.23;33.48;73.46;102.18;124.99;54.55;130.52;4.988
07/01/2000;7.42;2.8;69.7;21.3;80.5;5.8;1.21;0.695;4.68;1.29;4.68;0.271;644.0;20.5;0.75;0.41;1.86;1.41;1.5;0.43;0.63;0.12;0.61;0.42;0.11;0.61;0.6;7.8;7.82;8.49;7.75;8.82;1.4;0.0;0.4;15.2;14.0;19.1;146.12;58.23;33.45;73.42;102.17;125.19;54.54;130.5;4.965
08/01/2000;7.14;2.91;54.7;20.7;62.6;5.64;1.16;0.689;4.49;1.25;4.49;0.364;613.0;20.0;0.73;0.42;1.63;1.39;1.12;0.42;0.63;0.12;0.6;0.41;0.13;0.61;0.59;7.87;7.87;8.5;7.76;8.87;0.0;0.0;0.0;14.9;16.2;19.7;146.12;58.11;33.44;73.38;102.25;125.28;54.54;130.55;4.996
09/01/2000;7.08;2.76;47.5;19.6;54.6;5.5;1.14;0.675;4.4;1.28;4.4;0.28;593.0;19.1;0.73;0.4;1.53;1.36;0.93;0.41;0.63;0.12;0.6;0.42;0.11;0.61;0.57;7.85;7.92;8.43;7.77;8.75;13.2;4.4;5.4;14.5;14.6;15.7;146.12;57.98;33.44;73.26;102.31;125.38;54.53;130.55;4.911
10/01/2000;6.77;2.71;43.7;18.4;49.9;5.28;1.12;0.661;4.29;1.21;4.29;0.249;566.0;18.7;0.71;0.4;1.46;1.32;0.82;0.39;0.63;0.12;0.59;0.41;0.1;0.61;0.56;7.62;7.64;8.13;7.59;8.5;8.0;27.4;6.6;7.8;7.3;12.3;146.12;57.98;33.45;73.25;102.34;125.44;54.5;130.53;4.766
11/01/2000;6.58;2.69;40.3;17.3;46.7;5.0;1.11;0.648;4.21;1.2;4.21;0.258;567.0;17.4;0.7;0.4;1.39;1.29;0.74;0.37;0.63;0.12;0.58;0.41;0.11;0.61;0.53;7.56;7.58;8.08;7.49;8.47;7.4;5.6;3.8;8.2;7.7;7.5;146.12;57.93;33.45;73.3;102.38;125.51;54.5;130.55;4.795
12/01/2000;6.49;2.66;36.8;16.2;41.8;4.99;1.09;0.648;4.14;1.19;4.14;0.258;564.0;17.2;0.7;0.39;1.31;1.25;0.63;0.37;0.62;0.12;0.58;0.41;0.11;0.61;0.52;7.43;7.44;8.01;7.31;8.33;2.6;1.6;2.4;11.2;11.2;11.3;146.12;57.86;33.48;73.28;102.39;125.6;54.48;130.58;4.837
13/01/2000;6.45;2.68;35.5;15.7;39.8;5.3;1.1;0.648;4.14;1.18;4.14;0.267;533.0;16.9;0.69;0.39;1.28;1.23;0.58;0.39;0.63;0.12;0.58;0.41;0.11;0.61;0.52;7.3;7.37;7.84;7.24;8.16;1.2;2.2;2.0;0.3;0.0;0.2;146.12;57.71;33.55;73.25;102.41;125.74;54.5;130.65;4.863
