"code_bss";"nom_commune";"x";"y";"nb_mesures_piezo";"libelle_pe";"date_maj"
"03627X0052/P1";"Gémigny";"1.68825079290269";"47.9582329923407";"14610";"FERME DE L'AISEAU";"Fri Jun 17 18:43:39 CEST 2022"
"03282X0043/S1";"Engenville";"2.25475423634172";"48.2298804709107";"11811";"Forage du chantier des quatorze (Engenville - 45)";"Mon Dec 05 18:51:15 CET 2022"
"03287X0018/S1";"Batilly-en-Gâtinais";"2.35329430984471";"48.0923115443955";"19730";"Arconville";"Wed Sep 29 20:45:15 CEST 2021"
"03646X0087/F2";"Vitry-aux-Loges";"2.30815910007475";"47.9146147037774";"13127";"Les 6 routes";"Wed Sep 29 18:16:55 CEST 2021"
"03983X0267/PZ3";"Saint-Cyr-en-Val";"1.97969427102398";"47.8038124941451";"17786";"La Commanderie";"Wed Sep 29 20:24:23 CEST 2021"
"04602X0020/F";"Fontaines-en-Sologne";"1.55816305096866";"47.4828987148297";"17501";"Le Bois";"Wed Sep 29 20:46:17 CEST 2021"
"04302X0101/F";"Chaumont-sur-Tharonne";"1.905736263317591";"47.61117768881994";"17762";"Forage de l'aire de service Autoroute BP ( Chaumont-sur-Tharonne - 41)";"Wed Sep 29 20:45:52 CEST 2021"
"03642X0072/F";"Seichebrières";"2.27624097013496";"47.9842074073549";"190";"Le Bois Bézard";"Fri Jan 24 16:44:49 CET 2020"
"03646X0083/F";"Châteauneuf-sur-Loire";"2.26264231966728";"47.8914822207754";"534";"La Pierre Blanche";"Tue Jan 28 19:02:38 CET 2020"
"03634X0093/F";"Traînou";"2.07828651327369";"47.9715268346274";"16643";"LE CHAMP DES BRULÉS";"Thu Sep 30 20:35:19 CEST 2021"
"03262X0074/F";"Sancheville";"1.58249494999001";"48.1712720628233";"547";"Boissay";"Fri Jan 24 16:44:49 CET 2020"
"03974X0007/F";"Saint-Ay";"1.72808571345004";"47.8650963099393";"1566";"La Chaise";"Fri Jan 24 16:44:49 CET 2020"
"04284X0119/F";"Mulsans";"1.38871153656554";"47.6989570278504";"17123";"Chemin de Villexanton";"Wed Sep 29 20:45:40 CEST 2021"
"02921X0029/F";"Louville-la-Chenard";"1.81120218287248";"48.3481030074732";"1721";"Auvilliers";"Fri Jan 24 16:44:49 CET 2020"
"04312X0039/F";"Isdes";"2.27820501546361";"47.6653905191037";"17731";"LES BERTHIERS";"Wed Nov 23 06:03:43 CET 2022"
"03631X0099/F";"Gidy";"1.85757658537259";"47.9773952673712";"17062";"Station TOTAL";"Wed Sep 29 20:44:24 CEST 2021"
"03655X0017/PF";"La Cour-Marigny";"2.58937087781878";"47.8912340485138";"533";"La Maison de l'Etang";"Fri Jan 24 16:44:49 CET 2020"
"03296X1010/P";"Treilles-en-Gâtinais";"2.6673812380646";"48.0927473695301";"322";"Le Chénol";"Fri Jan 24 16:44:49 CET 2020"
"03283X0020/P";"Briarres-sur-Essonne";"2.38496521805435";"48.2301702726023";"1763";"Grange sur Briare";"Fri Jan 24 16:44:49 CET 2020"
"03973X0120/P";"Huisseau-sur-Mauves";"1.6904147826291";"47.8690308134598";"1600";"Preau";"Fri Jan 24 16:44:49 CET 2020"
"03621X0030/P";"Villemaury";"1.48043352937253";"48.0131935595874";"1504";"Ozoir-le-Breil";"Fri Jan 24 16:44:49 CET 2020"
